15, r, 36, 130, 143
86, s, 45, 165, 230
89, z, 27, 103, 175
47, E, 48, 126, 214
81, y, 27, 143, 128
88, b, 29, 124, 148
98, W, 23, 142, 255
26, U, 21, 146, 116
10, M, 15, 177, 354
23, N, 44, 104, 104
92, g, 49, 180, 251
80, v, 50, 122, 244
96, C, 41, 119, 154
43, X, 15, 188, 300
55, k, 48, 131, 144
15, R, 47, 184, 147
37, J, 42, 177, 212
77, V, 37, 128, 102
33, Y, 45, 150, 195
48, c, 27, 132, 158
36, u, 8, 134, 147
89, L, 19, 137, 109
11, F, 48, 155, 155
59, F, 48, 171, 273
53, K, 36, 153, 122
35, e, 38, 140, 112
74, A, 23, 142, 127
59, l, 23, 122, 183
91, P, 45, 165, 313
24, B, 8, 197, 354
16, v, 6, 161, 161
53, L, 21, 150, 225
59, b, 7, 174, 191
55, L, 12, 104, 114
4, A, 50, 181, 253
89, k, 27, 137, 274
36, L, 5, 120, 204
6, s, 22, 113, 214
79, B, 28, 172, 240
25, h, 30, 163, 326
8, T, 17, 135, 229
46, F, 48, 145, 261
16, p, 35, 195, 390
23, g, 10, 190, 304
98, t, 42, 171, 307
21, T, 48, 188, 150
58, X, 8, 112, 89
30, h, 21, 190, 285
41, v, 27, 157, 298
29, C, 11, 150, 210
52, W, 14, 115, 149
95, s, 50, 184, 184
63, x, 34, 176, 193
36, w, 37, 156, 265
75, q, 14, 159, 174
75, E, 25, 187, 261
38, s, 39, 119, 119
46, p, 33, 131, 144
72, a, 46, 178, 160
4, e, 13, 189, 321
95, N, 38, 129, 141
80, g, 46, 120, 168
88, H, 44, 139, 111
53, s, 20, 174, 295
42, Y, 19, 151, 286
27, W, 22, 154, 123
10, B, 34, 176, 228
75, a, 17, 117, 210
87, k, 37, 167, 283
17, T, 29, 121, 169
92, k, 18, 192, 230
15, N, 31, 150, 195
37, H, 49, 100, 100
27, P, 24, 116, 104
19, G, 27, 110, 121
56, A, 31, 155, 139
52, T, 29, 153, 137
93, B, 30, 109, 196
58, s, 34, 103, 123
28, x, 6, 198, 396
9, f, 34, 170, 306
71, g, 49, 148, 207
13, n, 18, 171, 136
12, o, 9, 127, 254
71, Y, 15, 115, 92
97, O, 24, 174, 295
56, N, 46, 110, 187
47, k, 22, 161, 241
16, n, 45, 113, 180
37, w, 14, 190, 304
93, x, 18, 107, 85
70, y, 13, 198, 277
58, r, 45, 143, 214
7, M, 42, 139, 278
34, z, 40, 119, 202
5, X, 26, 171, 307
68, K, 44, 110, 165
2, A, 47, 114, 216
89, B, 36, 198, 396
71, F, 20, 159, 286
79, b, 30, 124, 235
29, b, 40, 200, 300
10, g, 50, 148, 207
