8, R, 9, 111, 222
8, V, 10, 102, 163
36, g, 25, 185, 296
25, T, 38, 199, 338
61, u, 20, 172, 223
48, W, 50, 123, 221
22, K, 50, 178, 284
23, r, 23, 174, 156
89, l, 7, 178, 249
53, q, 5, 190, 247
91, r, 21, 165, 214
77, N, 26, 188, 263
31, C, 45, 127, 152
75, k, 9, 136, 231
74, B, 7, 193, 154
33, k, 19, 147, 264
94, O, 19, 168, 218
59, v, 28, 172, 172
94, F, 40, 173, 242
44, b, 12, 123, 98
78, X, 48, 199, 218
65, P, 6, 187, 205
28, l, 12, 194, 291
98, a, 50, 185, 259
11, s, 43, 171, 324
28, m, 31, 195, 331
61, r, 41, 154, 292
36, V, 8, 138, 262
82, E, 17, 122, 183
48, d, 47, 165, 247
92, O, 6, 113, 226
30, T, 21, 192, 153
88, J, 9, 111, 111
92, E, 6, 131, 262
81, i, 35, 100, 130
46, x, 10, 142, 142
77, l, 7, 122, 231
19, F, 43, 111, 210
30, C, 49, 169, 287
81, X, 5, 109, 207
38, W, 14, 160, 176
97, X, 29, 175, 192
83, R, 29, 183, 237
78, u, 28, 191, 362
34, V, 39, 101, 90
33, A, 47, 109, 98
81, h, 22, 173, 173
0, K, 42, 200, 160
0, G, 16, 160, 160
69, y, 21, 199, 398
77, n, 38, 142, 284
21, b, 19, 194, 194
48, Y, 11, 150, 150
66, I, 41, 174, 348
36, E, 12, 151, 211
32, P, 18, 106, 116
77, J, 10, 193, 366
72, l, 40, 133, 239
96, x, 44, 153, 153
65, H, 20, 145, 290
17, C, 40, 154, 277
74, Z, 47, 192, 192
85, y, 8, 181, 325
12, l, 30, 145, 145
22, R, 41, 190, 323
18, F, 24, 170, 136
72, q, 30, 153, 168
3, M, 44, 160, 304
49, D, 6, 142, 227
73, R, 37, 134, 134
70, D, 21, 165, 313
13, A, 44, 169, 253
72, U, 19, 197, 374
89, j, 47, 139, 166
37, v, 7, 193, 270
38, U, 23, 107, 149
43, B, 35, 142, 142
53, D, 48, 143, 228
36, O, 44, 193, 289
8, H, 42, 179, 304
22, a, 28, 145, 217
53, y, 42, 159, 222
37, C, 29, 121, 205
84, e, 10, 129, 141
40, I, 12, 141, 282
10, q, 47, 161, 209
77, o, 43, 182, 309
22, r, 7, 129, 180
94, q, 15, 176, 264
1, e, 14, 149, 208
31, V, 48, 102, 153
84, h, 30, 197, 256
62, j, 39, 160, 320
6, K, 11, 167, 283
23, S, 46, 167, 283
2, q, 30, 143, 257
62, M, 27, 161, 177
81, i, 16, 108, 151
34, a, 45, 105, 199
21, G, 23, 116, 104
99, z, 37, 117, 117
82, j, 39, 132, 145
51, k, 33, 131, 262
6, W, 30, 179, 340
58, l, 34, 116, 139
44, c, 45, 165, 198
65, W, 21, 192, 192
51, b, 34, 148, 236
82, G, 15, 150, 270
86, F, 8, 153, 183
83, o, 30, 189, 189
66, P, 42, 165, 148
13, D, 26, 125, 212
96, s, 41, 161, 209
15, r, 19, 170, 237
41, h, 49, 116, 116
69, E, 11, 189, 226
74, y, 50, 190, 152
14, m, 11, 181, 307
68, y, 23, 121, 121
3, W, 37, 110, 110
53, H, 44, 127, 152
70, q, 9, 132, 132
57, h, 39, 109, 218
77, n, 25, 199, 378
64, D, 22, 144, 259
18, W, 27, 193, 250
86, w, 44, 150, 270
65, V, 14, 138, 220
